STATEFP20,COUNTYFP20,COUNTYNS20,GEOID20,NAME20,NAMELSAD20,LSAD20,CLASSFP20,MTFCC20,CSAFP20,CBSAFP20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,CVAP_TOT19,CVAP_HSP19,CVAP_WHT19,CVAP_BLK19,CVAP_AIA19,CVAP_ASN19,CVAP_NHP19
04,007,00040471,04007,Gila,Gila County,06,H1,G4020,429,37740,A,12321426494,97108979,+33.7896177,-110.8118696,PLST,AZ,050,00,00,000,0000005,0500000US04007,04007,4,8,04,01779777,007,H1,00040471,37740,2,429,99999,12321426494,97108979,Gila,Gila County,A,53272,32373,+33.7896177,-110.8118696,06,53272,48680,35904,282,8928,445,48,3073,4592,4392,136,932,168,37,2969,24,0,1,24,4,15,48,19,14,1,168,25,16,2,5,9,13,55,7,4,0,3,3,1,8,7,0,6,0,4,0,26,7,0,2,5,1,1,3,2,3,0,0,0,2,0,0,6,4,0,2,0,0,0,0,0,53272,9283,43989,42326,32757,239,8655,427,45,203,1663,1586,106,787,150,37,438,17,0,1,5,4,11,5,19,5,1,70,14,7,1,1,9,13,8,2,0,0,3,0,1,8,1,0,2,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,43006,39685,30803,205,5982,366,31,2298,3321,3202,73,719,102,27,2205,0,0,1,14,1,1,30,19,9,1,102,10,8,0,1,7,8,41,4,0,0,3,3,0,8,2,0,3,0,4,0,11,3,0,0,3,0,0,0,2,3,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,43006,6535,36471,35218,28669,179,5816,359,30,165,1253,1199,60,631,96,27,349,0,0,1,5,1,1,5,19,3,1,49,6,7,0,1,7,8,8,1,0,0,3,0,0,8,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,32373,22312,10061,845,675,408,0,267,0,170,0,0,170,41926,6640,28682,269,5912,318,0
04,009,00025444,04009,Graham,Graham County,06,H1,G4020,,40940,A,11970605956,47476264,+32.9318277,-109.8783103,PLST,AZ,050,00,00,000,0000006,0500000US04009,04009,4,8,04,01779777,009,H1,00025444,40940,2,999,99999,11970605956,47476264,Graham,Graham County,A,38533,13704,+32.9318277,-109.8783103,06,38533,34407,25043,537,5390,192,20,3225,4126,3948,143,449,99,41,3085,32,3,6,11,6,8,35,18,12,0,159,34,8,0,5,5,3,75,10,5,8,1,1,2,0,0,0,2,0,0,0,16,4,1,4,1,1,2,2,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,38533,11428,27105,26281,20398,453,5143,169,16,102,824,772,120,333,82,28,134,23,3,6,10,4,8,6,15,0,0,48,30,3,0,0,0,3,0,9,1,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27715,25006,18367,444,3452,167,16,2560,2709,2598,51,310,52,17,2103,11,3,3,11,1,4,15,10,7,0,99,12,8,0,5,5,2,50,10,2,5,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,2,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,27715,7880,19835,19310,15347,406,3316,150,16,75,525,502,48,260,48,10,95,7,3,3,10,0,4,4,10,0,0,23,8,3,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13704,12150,1554,2673,2556,2474,8,73,1,117,26,0,91,26987,8324,14481,689,3341,146,34
04,015,00025445,04015,Mohave,Mohave County,06,H1,G4020,,29420,A,34530024782,333401646,+35.7177050,-113.7496891,PLST,AZ,050,00,00,000,0000010,0500000US04015,04015,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,34530024782,333401646,Mohave,Mohave County,A,213267,117650,+35.7177050,-113.7496891,06,213267,192957,169732,2221,5185,2734,409,12676,20310,19248,1099,4433,1230,250,11528,86,26,10,144,23,7,223,117,51,21,990,159,47,9,73,90,17,313,159,74,10,2,6,7,3,5,4,8,1,2,1,63,7,1,15,2,5,0,9,7,2,12,3,0,0,0,0,9,5,3,0,0,1,0,0,0,213267,34126,179141,169936,160165,2063,4053,2600,365,690,9205,8707,968,3876,1109,220,2245,70,26,10,28,7,7,18,96,24,3,466,118,34,7,26,70,15,29,136,10,0,2,5,1,3,1,0,8,0,0,1,24,5,0,0,0,3,0,9,0,0,4,3,0,0,0,0,8,5,3,0,0,0,0,0,0,177461,162804,144942,1794,3761,2342,322,9643,14657,13979,497,3504,718,158,8590,54,18,5,90,11,6,177,89,43,19,627,98,17,6,32,59,13,231,108,35,6,2,1,2,3,1,4,8,1,0,0,42,2,1,15,2,5,0,9,0,2,6,0,0,0,0,0,9,5,3,0,0,1,0,0,0,177461,24252,153209,146347,138599,1708,2941,2254,299,546,6862,6530,466,3180,678,140,1854,47,18,5,17,2,6,11,83,20,3,308,83,10,4,17,44,11,25,96,3,0,2,0,1,3,1,0,8,0,0,0,16,0,0,0,0,3,0,9,0,0,4,0,0,0,0,0,8,5,3,0,0,0,0,0,0,117650,91270,26380,4340,3801,3065,29,688,19,539,71,0,468,165735,20847,135897,2127,4493,1730,189
04,025,00042809,04025,Yavapai,Yavapai County,06,H1,G4020,,39150,A,21038142263,11513573,+34.6310710,-112.5772247,PLST,AZ,050,00,00,000,0000015,0500000US04025,04025,4,8,04,01779777,025,H1,00042809,39150,1,999,99999,21038142263,11513573,Yavapai,Yavapai County,A,236209,121154,+34.6310710,-112.5772247,06,236209,213970,192507,1543,4283,2932,294,12411,22239,21173,1040,4539,1324,288,13413,107,36,1,73,25,21,158,76,60,12,1006,165,40,9,91,67,33,368,117,68,1,12,4,7,1,4,3,1,6,6,3,56,12,0,12,1,8,0,5,1,0,13,0,3,0,0,1,4,0,0,3,0,1,0,0,0,236209,34390,201819,192172,183296,1415,3319,2802,269,1071,9647,9213,933,4009,1212,249,2565,76,28,1,20,16,13,0,66,24,1,414,129,39,8,11,58,21,22,100,8,0,9,3,0,0,0,3,1,2,0,0,17,11,0,1,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,199136,183387,167240,1253,3128,2568,236,8962,15749,15114,534,3561,781,170,9647,69,23,1,46,10,21,121,76,46,8,603,96,15,4,47,37,11,259,81,34,1,1,2,4,0,1,3,1,6,0,0,29,6,0,9,0,6,0,2,1,0,4,0,0,0,0,1,3,0,0,3,0,0,0,0,0,199136,23500,175636,168473,161266,1181,2463,2467,214,882,7163,6893,508,3258,730,156,2049,54,15,1,18,5,13,0,66,19,1,258,90,15,3,11,34,7,16,72,2,0,0,2,0,0,0,3,1,2,0,0,9,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,121154,104425,16729,4035,1204,453,125,597,29,2831,1684,0,1147,184307,18352,157669,1548,3802,2168,125
04,012,00043540,04012,La Paz,La Paz County,06,H1,G4020,,,A,11646049270,36551630,+33.7276104,-114.0388060,PLST,AZ,050,00,00,000,0000008,0500000US04012,04012,4,8,04,01779777,012,H1,00043540,99999,9,999,99999,11646049270,36551630,La Paz,La Paz County,A,16557,13457,+33.7276104,-114.0388060,06,16557,14496,9772,114,2833,115,49,1613,2061,1937,37,465,32,9,1284,12,6,5,1,10,2,57,8,8,1,108,24,0,2,5,9,6,37,5,11,0,0,0,6,0,0,0,1,0,2,0,15,1,3,1,4,1,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,16557,4197,12360,11712,9061,102,2354,111,41,43,648,593,35,359,32,6,120,5,3,5,0,10,2,4,8,4,0,49,13,0,0,4,8,6,8,5,2,0,0,0,2,0,0,0,1,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,13505,12104,8862,99,1836,96,29,1182,1401,1333,26,309,17,7,925,2,3,5,1,3,0,23,8,3,1,57,13,0,2,5,2,3,19,5,0,0,0,0,6,0,0,0,0,0,2,0,10,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13505,2818,10687,10210,8397,88,1569,96,21,39,477,442,26,265,17,6,103,2,0,5,0,3,0,4,8,3,0,30,13,0,0,4,1,3,2,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13457,7370,6087,176,133,133,0,0,0,43,0,0,43,16050,3138,10597,301,1879,122,7
04,023,00040472,04023,Santa Cruz,Santa Cruz County,06,H1,G4020,536,35700,A,3201853240,3068237,+31.5257330,-110.8452278,PLST,AZ,050,00,00,000,0000014,0500000US04023,04023,4,8,04,01779777,023,H1,00040472,35700,2,536,99999,3201853240,3068237,Santa Cruz,Santa Cruz County,A,47669,18729,+31.5257330,-110.8452278,06,47669,30658,15929,187,457,304,19,13762,17011,16769,35,184,39,4,16307,7,7,6,36,0,3,104,2,35,0,219,0,10,0,33,0,9,103,2,51,1,0,0,3,0,0,0,5,0,1,1,13,1,0,3,1,0,2,0,1,0,4,0,0,0,0,1,9,9,0,0,0,0,0,1,1,47669,39632,8037,7745,7119,114,78,271,13,150,292,253,14,97,31,3,81,7,2,6,0,0,3,4,2,3,0,32,0,6,0,5,0,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35215,22848,12534,127,346,244,13,9584,12367,12200,24,149,24,1,11858,5,2,2,24,0,3,86,2,20,0,154,0,0,0,21,0,9,83,2,32,1,0,0,1,0,0,0,4,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,1,1,35215,27978,7237,7001,6501,96,63,227,13,101,236,212,14,97,16,0,64,5,2,2,0,0,3,4,2,3,0,24,0,0,0,5,0,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18729,16670,2059,160,68,65,3,0,0,92,0,0,92,27532,20989,6106,108,183,163,0
04,001,00025441,04001,Apache,Apache County,06,H1,G4020,,,A,29003486215,54150732,+35.3850840,-109.4901722,PLST,AZ,050,00,00,000,0000002,0500000US04001,04001,4,8,04,01779777,001,H1,00025441,99999,9,999,99999,29003486215,54150732,Apache,Apache County,A,66021,28723,+35.3850840,-109.4901722,06,66021,63631,14873,185,47016,312,20,1225,2390,2206,48,724,58,32,1016,138,1,6,10,36,31,95,4,3,4,145,23,0,0,14,12,4,67,3,3,4,1,5,1,0,7,0,1,0,0,0,29,5,1,3,3,1,0,1,0,0,10,3,2,0,0,0,7,3,2,0,1,1,0,3,3,66021,3861,62160,60924,13791,184,46509,307,18,115,1236,1175,37,692,57,21,140,136,0,6,6,34,31,9,4,2,0,51,18,0,0,3,11,2,0,3,0,0,1,4,1,0,7,0,1,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,1,0,0,1,1,49105,47552,11973,164,34168,270,17,960,1553,1447,18,481,27,15,739,66,0,5,3,20,18,47,3,1,4,81,11,0,0,9,3,2,40,3,0,1,0,5,0,0,7,0,0,0,0,0,18,4,1,3,0,0,0,1,0,0,5,2,2,0,0,0,4,1,2,0,0,1,0,3,3,49105,2572,46533,45722,11261,163,33926,266,17,89,811,778,18,475,26,15,123,65,0,5,0,20,18,9,3,1,0,28,8,0,0,3,3,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,1,28723,22103,6620,1207,498,379,0,80,39,709,401,0,308,51449,2511,10634,441,37522,169,1
04,027,00023901,04027,Yuma,Yuma County,06,H1,G4020,,49740,A,14280774789,13253159,+32.7739424,-113.9109050,PLST,AZ,050,00,00,000,0000016,0500000US04027,04027,4,8,04,01779777,027,H1,00023901,49740,1,999,99999,14280774789,13253159,Yuma,Yuma County,A,203881,92048,+32.7739424,-113.9109050,06,203881,152053,90318,4099,3522,2587,283,51244,51828,50722,793,1783,835,133,46058,121,60,33,271,30,10,358,79,130,28,969,120,27,10,149,47,0,426,57,100,7,0,3,2,1,6,1,8,2,1,2,112,18,5,57,1,3,0,5,0,6,12,1,0,0,3,1,24,4,18,0,2,0,0,1,1,203881,130003,73878,69653,61123,3484,1888,2321,215,622,4225,3967,592,1241,680,108,1079,76,58,21,12,11,10,13,54,6,6,212,69,21,6,14,29,0,10,54,3,0,0,1,0,1,0,0,4,0,0,0,24,17,3,0,1,0,0,0,0,0,1,0,0,0,2,0,22,4,16,0,2,0,0,0,0,153169,117243,72600,3267,2596,2112,212,36456,35926,35287,385,1292,487,81,32277,88,48,17,137,21,8,267,61,96,22,549,60,2,6,61,20,0,289,45,42,7,0,3,1,1,2,0,7,1,0,2,68,11,3,37,1,0,0,2,0,6,7,0,0,0,0,1,21,1,18,0,2,0,0,1,1,153169,89679,63490,60356,53451,2966,1425,1936,173,405,3134,2971,323,980,421,73,957,56,46,17,8,11,8,13,48,4,6,129,39,2,6,14,14,0,4,44,0,0,0,1,0,1,0,0,4,0,0,0,15,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,19,1,16,0,2,0,0,0,0,92048,69589,22459,7348,6017,5645,39,309,24,1331,259,781,291,127488,66329,53216,3513,2050,1989,80
04,021,00025447,04021,Pinal,Pinal County,06,H1,G4020,429,38060,A,13897997152,22344374,+32.9185209,-111.3663396,PLST,AZ,050,00,00,000,0000013,0500000US04021,04021,4,8,04,01779777,021,H1,00025447,38060,1,429,99999,13897997152,22344374,Pinal,Pinal County,A,425264,172878,+32.9185209,-111.3663396,06,425264,370288,269258,21968,21128,6718,1219,49997,54976,52142,3910,6036,2706,485,35607,568,186,63,717,62,33,571,925,223,50,2587,463,159,40,382,133,11,803,282,194,42,6,2,55,6,0,2,6,1,0,0,214,26,2,89,15,8,0,32,29,0,10,0,0,0,2,1,32,0,28,0,1,2,1,1,1,425264,121533,303731,286903,240006,20712,17156,6290,1081,1658,16828,15762,3303,4769,2277,402,3209,439,154,48,185,35,22,29,846,38,6,987,345,135,38,70,90,9,18,226,16,13,6,1,12,6,0,2,0,0,0,0,70,19,2,10,15,2,0,16,3,0,1,0,0,0,2,0,8,0,6,0,1,0,1,1,1,325640,290604,217107,15957,14478,5454,838,36770,35036,33590,1533,4175,1345,230,24041,340,98,24,375,32,14,375,867,112,29,1302,236,50,16,136,54,10,499,156,82,14,0,1,40,6,0,0,1,1,0,0,125,17,2,49,11,2,0,19,16,0,6,0,0,0,2,1,18,0,14,0,1,2,1,1,1,325640,80802,244838,233863,199227,15447,12012,5212,769,1196,10975,10383,1383,3547,1221,217,2605,295,91,20,127,20,14,17,806,14,6,527,200,44,14,45,38,8,18,130,4,8,0,0,12,6,0,0,0,0,0,0,56,12,2,10,11,2,0,13,3,0,1,0,0,0,2,0,8,0,6,0,1,0,1,1,1,172878,146663,26215,22770,22248,21631,66,503,48,522,35,0,487,312478,76024,197393,15726,16298,4969,1071
04,017,00042808,04017,Navajo,Navajo County,06,H1,G4020,,43320,A,25769061034,24125807,+35.3907852,-110.3210248,PLST,AZ,050,00,00,000,0000011,0500000US04017,04017,4,8,04,01779777,017,H1,00042808,43320,2,999,99999,25769061034,24125807,Navajo,Navajo County,A,106717,56180,+35.3907852,-110.3210248,06,106717,100434,48430,760,47442,567,86,3149,6283,5923,254,1886,226,63,3010,213,0,5,23,43,45,131,17,5,2,337,98,11,3,31,17,5,108,31,12,0,0,6,6,2,4,1,0,1,1,0,16,4,0,1,6,1,0,1,0,0,1,2,0,0,0,0,3,1,1,0,0,1,0,4,4,106717,10887,95830,92880,44786,674,46572,548,68,232,2950,2785,213,1577,208,56,416,198,0,0,1,42,45,13,15,0,1,155,81,7,0,7,15,3,5,26,6,0,0,0,1,2,0,1,0,1,0,0,9,3,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,79208,75232,38652,626,33068,447,61,2378,3976,3772,123,1132,141,25,2107,85,0,2,13,25,20,78,15,5,1,196,44,10,3,21,11,3,60,24,2,0,0,6,6,0,4,1,0,1,0,0,7,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,79208,7334,71874,70008,36129,577,32631,442,49,180,1866,1770,111,1014,130,24,336,80,0,0,1,25,20,13,15,0,1,90,36,6,0,7,9,3,4,20,2,0,0,0,1,0,0,1,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,56180,36836,19344,2040,1751,1355,44,352,0,289,0,0,289,78136,7286,36119,906,33358,360,13
