STATEFP20,COUNTYFP20,VTDST20,GEOID20,VTDI20,NAME20,NAMELSAD20,LSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,VTD,VTDI,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
04,015,000209,04015000209,A,DOLAN SPRINGS,DOLAN SPRINGS,00,G5240,N,1078514631,13521744,+35.5860652,-114.3691267,PLST,AZ,700,00,00,000,0023895,7000000US04015000209,04015000209,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000209,A,1078514631,13521744,DOLAN SPRINGS,DOLAN SPRINGS,N,1857,1390,+35.5860548,-114.2969458,00,1857,1627,1423,16,26,18,6,138,230,215,9,55,8,0,138,0,0,0,0,2,0,2,1,0,0,14,3,0,0,1,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,372,1485,1390,1329,16,14,15,6,10,95,90,9,52,8,0,17,0,0,0,0,2,0,1,1,0,0,5,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,1458,1306,7,24,15,4,102,172,164,5,39,4,0,113,0,0,0,0,0,0,2,1,0,0,7,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,281,1349,1280,1235,7,14,15,4,5,69,67,5,39,4,0,17,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,872,518,0,0,0,0,0,0,0,0,0,0
04,015,000211,04015000211,A,BULLHEAD CITY,BULLHEAD CITY,00,G5240,N,751754370,36557270,+35.2828824,-114.4775066,PLST,AZ,700,00,00,000,0023897,7000000US04015000211,04015000211,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000211,A,751754370,36557270,BULLHEAD CITY,BULLHEAD CITY,N,41878,24907,+35.1246915,-114.5767246,00,41878,36960,30895,584,601,614,87,4179,4918,4732,273,826,255,44,3126,25,3,2,72,4,1,64,25,9,3,170,22,11,0,15,17,2,53,22,18,3,0,2,0,0,1,3,0,0,1,0,16,5,0,5,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41878,9960,31918,30124,28420,553,346,585,78,142,1794,1705,242,675,237,36,452,20,3,2,9,2,1,4,17,5,0,79,22,8,0,9,15,2,5,16,0,0,0,2,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35281,31713,27025,461,498,529,64,3136,3568,3448,115,652,148,26,2361,20,2,2,49,2,1,38,22,7,3,109,14,2,0,10,8,2,46,14,7,3,0,0,0,0,0,3,0,0,0,0,11,1,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35281,7205,28076,26773,25355,450,297,504,59,108,1303,1255,110,563,141,21,371,16,2,2,5,0,1,2,16,5,0,43,14,1,0,5,7,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24907,18892,6015,209,124,0,0,121,3,85,0,0,85
04,015,000221,04015000221,A,LITTLEFIELD,LITTLEFIELD,00,G5240,N,9916323424,24510948,+36.4832895,-113.5600846,PLST,AZ,700,00,00,000,0023907,7000000US04015000221,04015000221,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000221,A,9916323424,24510948,LITTLEFIELD,LITTLEFIELD,N,3175,2255,+36.6245972,-113.6434637,00,3175,2921,2409,18,59,13,0,422,254,232,17,20,5,2,183,0,0,0,0,0,0,1,4,0,0,22,3,0,0,1,2,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,799,2376,2310,2228,18,45,13,0,6,66,60,16,20,3,2,18,0,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,2518,2131,15,51,13,0,308,180,159,11,17,1,1,127,0,0,0,0,0,0,1,1,0,0,21,3,0,0,0,2,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,558,2140,2085,2015,15,37,13,0,5,55,49,11,17,1,1,18,0,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255,1405,850,0,0,0,0,0,0,0,0,0,0
04,015,000223,04015000223,A,MOCCASIN,MOCCASIN,00,G5240,N,452107869,19920,+36.9097094,-112.6673019,PLST,AZ,700,00,00,000,0023909,7000000US04015000223,04015000223,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000223,A,452107869,19920,MOCCASIN,MOCCASIN,N,276,129,+36.9140133,-112.6634087,00,276,261,66,7,185,1,0,2,15,14,0,5,0,1,2,0,0,0,0,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,16,260,252,66,6,178,1,0,1,8,7,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,185,47,7,129,1,0,1,12,11,0,5,0,1,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,8,189,182,47,6,128,1,0,0,7,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,95,34,0,0,0,0,0,0,0,0,0,0
04,015,000216,04015000216,A,KINGMAN NORTH,KINGMAN NORTH,00,G5240,N,72692554,0,+35.2886269,-114.0480868,PLST,AZ,700,00,00,000,0023902,7000000US04015000216,04015000216,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000216,A,72692554,0,KINGMAN NORTH,KINGMAN NORTH,N,12214,5746,+35.2676674,-114.0275975,00,12214,11129,10234,102,189,92,23,489,1085,1027,94,306,60,15,527,2,0,0,10,0,0,3,8,1,1,55,16,2,0,8,2,0,18,5,3,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12214,1565,10649,10029,9647,95,157,87,15,28,620,595,85,276,53,13,148,2,0,0,9,0,0,1,8,0,0,25,13,2,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,9221,8525,82,134,79,14,387,784,744,48,249,30,7,389,0,0,0,8,0,0,3,8,1,1,37,12,0,0,4,2,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,1078,8927,8456,8150,80,113,79,12,22,471,451,45,231,28,7,124,0,0,0,7,0,0,1,8,0,0,20,12,0,0,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5746,5147,599,99,82,0,12,70,0,17,0,0,17
04,015,000208,04015000208,A,MEADVIEW,MEADVIEW,00,G5240,N,942887002,27360025,+35.9437620,-113.9821952,PLST,AZ,700,00,00,000,0023894,7000000US04015000208,04015000208,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000208,A,942887002,27360025,MEADVIEW,MEADVIEW,N,1473,1293,+35.9601058,-114.0773232,00,1473,1396,1331,16,24,9,1,15,77,70,4,28,1,1,34,0,0,0,1,0,0,1,0,0,0,7,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,91,1382,1344,1306,16,12,9,1,0,38,34,2,26,0,1,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,1342,1283,11,23,9,1,15,64,60,1,28,0,0,29,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,79,1327,1293,1261,11,11,9,1,0,34,32,1,26,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,800,493,0,0,0,0,0,0,0,0,0,0
04,015,000213,04015000213,A,HACKBERRY,HACKBERRY,00,G5240,N,1584405956,0,+35.4844650,-113.8133821,PLST,AZ,700,00,00,000,0023899,7000000US04015000213,04015000213,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000213,A,1584405956,0,HACKBERRY,HACKBERRY,N,2372,1370,+35.4214306,-113.8154966,00,2372,2226,2106,14,75,13,0,18,146,134,2,44,6,5,65,3,0,0,5,0,0,2,2,0,0,7,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,2372,129,2243,2157,2058,14,70,12,0,3,86,79,1,41,6,3,23,2,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,2146,2036,1944,7,57,11,0,17,110,102,1,33,6,3,51,2,0,0,2,0,0,2,2,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,2146,97,2049,1972,1899,7,53,10,0,3,77,71,1,33,6,3,23,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,1370,1157,213,0,0,0,0,0,0,0,0,0,0
04,015,000219,04015000219,A,LAKE HAVASU NORTH,LAKE HAVASU NORTH,00,G5240,N,96422585,3320089,+34.5333259,-114.2758341,PLST,AZ,700,00,00,000,0023905,7000000US04015000219,04015000219,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000219,A,96422585,3320089,LAKE HAVASU NORTH,LAKE HAVASU NORTH,N,14939,9159,+34.5156599,-114.3180043,00,14939,13665,12572,83,121,169,19,701,1274,1198,66,254,81,13,755,8,0,0,1,0,0,9,5,4,2,70,8,6,2,5,6,2,17,17,4,1,0,0,1,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14939,1939,13000,12403,12029,75,79,158,19,43,597,558,62,231,72,13,170,7,0,0,0,0,0,0,3,0,0,38,3,3,2,1,5,2,4,14,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12920,11971,11145,63,99,151,19,494,949,902,37,211,47,8,578,4,0,0,1,0,0,8,3,3,2,45,5,4,1,4,4,1,9,14,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12920,1366,11554,11083,10757,61,68,141,19,37,471,448,35,198,46,8,155,3,0,0,0,0,0,0,3,0,0,23,0,1,1,1,4,1,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9159,6829,2330,17,17,0,0,17,0,0,0,0,0
04,015,000224,04015000224,A,PEACH SPRINGS,PEACH SPRINGS,00,G5240,N,1906218797,4346251,+35.7174452,-113.6773955,PLST,AZ,700,00,00,000,0023910,7000000US04015000224,04015000224,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000224,A,1906218797,4346251,PEACH SPRINGS,PEACH SPRINGS,N,1250,382,+35.6476491,-113.5980660,00,1250,1230,13,5,1201,4,1,6,20,17,0,9,0,0,4,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,67,1183,1173,11,4,1151,4,0,3,10,10,0,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,761,10,5,736,4,1,5,7,5,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,33,735,731,8,4,713,4,0,2,4,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,327,55,0,0,0,0,0,0,0,0,0,0
04,015,000214,04015000214,A,TRUXTON,TRUXTON,00,G5240,N,540297946,220150,+35.3654990,-113.4452459,PLST,AZ,700,00,00,000,0023900,7000000US04015000214,04015000214,4,8,04,01779777,015,H1,00025445,29420,1,999,99999,000214,A,540297946,220150,TRUXTON,TRUXTON,N,233,125,+35.4027608,-113.4465124,00,233,214,155,5,45,3,0,6,19,16,1,9,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,17,216,203,148,5,45,2,0,3,13,11,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,185,135,5,36,3,0,6,12,10,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,10,187,177,131,5,36,2,0,3,10,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,82,43,0,0,0,0,0,0,0,0,0,0
